sentiment,review_body,product_category
-1,I was intrigued by the pattern of this blouse (the purple version) but the design is terrible for me. it's boxy  i didn't like the fabric  and the arm ruffles are bizarre. it's going back tomorrow.,Blouses
-1,This is a gorgeous print  but i found it too fussy for my taste.  it is quite shapeless so i tried doing a half tuck. it looked cute for about 2 seconds  but then i had to worry about keeping the shoulders down.,Blouses
-1,The design is gorgeous  the fit is great and the fabric drapes beautifully and is very comfortable. however  it's extremely see thru.,Blouses
-1,I really liked this shirt the one time i got to wear it...but when i washed it  according to the directions on the tag  it shrunk! a lot! the sleeves are now too tight  and it is much shorter. thinking about returning it to the store  but in any case  i cannot wear it again.,Blouses
-1,"This blouse is so beautiful - the collar  sleeves  material...everything except the cut! it was like a tent. it needed to be more tapered  which would be easy to do while still maintaining the beautiful breezy flow  and be about two inches longer.    i had been drooling over this top for awhile and was so disappointed! please fix it and then i will buy again. i am 5'4""  140lbs and busty...a small was perfect  with the exception of the massive amount of material.",Blouses
-1,I really wanted to like this top  just got it in mail today  but unfortunately it did not work well for me because i'm 6 ft tall and the blouse was too short. i like the look and how it feels and i haven't completely decided whether to return it  but here are the issues i have encountered with this top. the blouse is very pretty and has a nice refreshing style with good print and color  very soft too  unusual for rayon of this type  feels more like thin delicate cotton. i got my top in red  size,Blouses
-1,I loved this shirt when it first arrived and i couldn't wait to wear it. after one day of wear  i went to hang the shirt back up and it was ripping on both sides of the middle back seem. this shirt was not tight on me at all. very disappointed.,Blouses
-1,I returned this item. it was soft. very blah fabric. nothing special.,Blouses
-1,"I wanted to love this top  but it unfortunately did not work for me. the material has a nice weight and feel to it  and while i love the pattern  the shape leaves something to be desired. the cap sleeves were a little tight on my arms  and the cut of the sleeves made my arms look big. the body of this shirt reminded me of a loose maternity top. for reference  i am 5'10"" 140 lbs and typically a size 6. i wear a small in retailer clothes  and got a small in this top. i think an xs would have been to",Blouses
0,"This tunic is simple and well made. it was not as long as on the model as on me but i am 5'-9"".",Blouses
